opportunity_id,sales_agent,product,product_series,account,sector,account_revenue,account_employees,deal_stage,engage_date,engagement_age_days,account_tier,product_value_tier,engagement_age_band,crm_priority_score,priority_tier
00400B1S,Lajuana Vencill,GTX Basic,GTX,,,,,Prospecting,,0,Unassigned Account,Low Value,Unengaged (Prospecting),30,Tier 3 — Lower Priority
01EH41WA,Zane Levy,GTX Pro,GTX,,,,,Engaging,2017-03-04,302,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
01XZ9CRY,Zane Levy,GTX Plus Pro,GTX,Initech,telecommunications,6395.05,20275.0,Engaging,2017-09-18,104,Enterprise,High Value,Aging (91-180 days),95,Tier 1 — High Priority
021Z2J9L,Markita Hansen,GTK 500,GTK,Rundofase,technology,1008.06,1238.0,Engaging,2017-07-23,161,Mid-Market,High Value,Aging (91-180 days),85,Tier 1 — High Priority
02K37JAK,Jonathan Berthelot,GTX Plus Basic,GTX,,,,,Engaging,2017-07-21,163,Unassigned Account,Medium Value,Aging (91-180 days),65,Tier 2 — Medium Priority
03P9VXWG,Darcel Schlecht,GTX Basic,GTX,,,,,Prospecting,,0,Unassigned Account,Low Value,Unengaged (Prospecting),30,Tier 3 — Lower Priority
03VCDZEE,Maureen Marcano,GTX Pro,GTX,,,,,Engaging,2017-02-23,311,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
041Q1IZL,Zane Levy,GTX Pro,GTX,Green-Plus,services,692.19,1922.0,Engaging,2017-08-15,138,Mid-Market,High Value,Aging (91-180 days),85,Tier 1 — High Priority
04OAV3CV,Elease Gluck,GTX Plus Pro,GTX,,,,,Engaging,2017-05-17,228,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
04SCU6DK,Corliss Cosme,MG Advanced,MG,,,,,Engaging,2017-07-01,183,Unassigned Account,Medium Value,Stalled / Critical (> 180 days),60,Tier 2 — Medium Priority
04T6SOQW,Kami Bicknell,GTX Basic,GTX,,,,,Engaging,2017-08-06,147,Unassigned Account,Low Value,Aging (91-180 days),55,Tier 2 — Medium Priority
04YGLJ3N,Kary Hendrixson,GTX Plus Pro,GTX,,,,,Engaging,2017-03-17,289,Unassigned Account,High Value,Stalled / Critical (> 180 days),70,Tier 2 — Medium Priority
